targetActivity,window_length,overlap_percent,freq_Hz,feature_normalisation,nu,kernel,TP,FP,FN,TN,Accuracy,Recall,Precision,Specificity,MCC
breathing,5,0,20,Standardisation,0.7,radial,59,6874,,,0.99,0.02,0.01,0,#DIV/0!
breathing,3,0,20,Standardisation,0.4,radial,16,60,92,11386,0.99,0.03,0.21,0.99,0.17
breathing,3,0,20,Standardisation,0.5,radial,10,37,98,11409,0.99,0.02,0.21,1,0.14
breathing,3,0,20,Standardisation,0.6,radial,6,24,102,11422,0.99,0.18,0.2,1,0.1
breathing,1,0,20,Standardisation,0.4,radial,125,4795,201,29540,0.86,0.1,0.03,0.86,0.07
breathing,1,0,20,Standardisation,0.5,radial,93,3688,233,30647,0.89,0,0.02,0.89,0.06
breathing,5,0,20,Standardisation,0.5,radial,1,3,58,6871,0.99,0.66,0.25,1,0.06
breathing,3,0,20,Standardisation,0.7,radial,3,17,105,11429,0.99,0.26,0.15,1,0.06
breathing,5,0,20,Standardisation,0.4,radial,1,7,58,6867,0.99,0.6,0.13,1,0.04
breathing,1,0,20,Standardisation,0.6,radial,59,3016,267,31319,0.91,0.24,0.02,0.91,0.03
breathing,1,0,20,Standardisation,0.7,radial,34,2170,292,32165,0.93,0.55,0.02,0.94,0.02
breathing,5,0,20,Standardisation,0.6,radial,0,1,59,6873,0.99,0.51,0,1,0
breathing,1,0,20,Standardisation,0.4,polynomial,214,23249,112,11086,0.33,0.19,0.01,0.32,0
breathing,3,0,20,Standardisation,0.4,polynomial,28,2977,80,8469,0.74,0.17,0.01,0.74,0
breathing,1,0,20,Standardisation,0.5,polynomial,197,21055,129,13280,0.39,0.1,0.01,0.39,0
breathing,3,0,20,Standardisation,0.5,polynomial,26,2982,82,8464,0.73,0.07,0.01,0.74,0
breathing,1,0,20,Standardisation,0.6,polynomial,178,20280,148,14055,0.41,0.15,0.01,0.41,-0.01
breathing,1,0,20,Standardisation,0.7,polynomial,165,19218,161,15117,0.44,0.07,0.01,0.44,-0.01
breathing,5,0,20,Standardisation,0.4,polynomial,11,1813,48,5061,0.73,#DIV/0!,0.01,0.74,-0.02
breathing,3,0,20,Standardisation,0.6,polynomial,18,3615,90,7831,0.68,#DIV/0!,0,0.68,-0.03
breathing,5,0,20,Standardisation,0.5,polynomial,6,1921,53,4953,0.72,#DIV/0!,0,0.72,-0.04
breathing,5,0,20,Standardisation,0.6,polynomial,4,2215,55,4659,0.67,#DIV/0!,0,0.68,-0.05
breathing,3,0,20,Standardisation,0.7,polynomial,16,4413,92,7033,0.61,#DIV/0!,0,0.61,-0.05
breathing,5,0,20,Standardisation,0.7,polynomial,4,2231,55,4643,0.67,#DIV/0!,0,0.68,-0.05
